i	LD	E1	M1	up	JLM
0	1	8	3	y	y
1	1	8	3	y	n
2	1	8	3	n	y
3	1	8	3	n	n
4	1	8	8	y	y
5	1	8	8	y	n
6	1	8	8	n	y
7	1	8	8	n	n
8	1	8	10	y	y
9	1	8	10	y	n
10	1	8	10	n	y
11	1	8	10	n	n
12	1	8	11	y	y
13	1	8	11	y	n
14	1	8	11	n	y
15	1	8	11	n	n
16	1	8	12	y	y
17	1	8	12	y	n
18	1	8	12	n	y
19	1	8	12	n	n
20	1	9	3	y	y
21	1	9	3	y	n
22	1	9	3	n	y
23	1	9	3	n	n
24	1	9	8	y	y
25	1	9	8	y	n
26	1	9	8	n	y
27	1	9	8	n	n
28	1	9	10	y	y
29	1	9	10	y	n
30	1	9	10	n	y
31	1	9	10	n	n
32	1	9	11	y	y
33	1	9	11	y	n
34	1	9	11	n	y
35	1	9	11	n	n
36	1	9	12	y	y
37	1	9	12	y	n
38	1	9	12	n	y
39	1	9	12	n	n
40	1	10	3	y	y
41	1	10	3	y	n
42	1	10	3	n	y
43	1	10	3	n	n
44	1	10	8	y	y
45	1	10	8	y	n
46	1	10	8	n	y
47	1	10	8	n	n
48	1	10	10	y	y
49	1	10	10	y	n
50	1	10	10	n	y
51	1	10	10	n	n
52	1	10	11	y	y
53	1	10	11	y	n
54	1	10	11	n	y
55	1	10	11	n	n
56	1	10	12	y	y
57	1	10	12	y	n
58	1	10	12	n	y
59	1	10	12	n	n
60	1	11	3	y	y
61	1	11	3	y	n
62	1	11	3	n	y
63	1	11	3	n	n
64	1	11	8	y	y
65	1	11	8	y	n
66	1	11	8	n	y
67	1	11	8	n	n
68	1	11	10	y	y
69	1	11	10	y	n
70	1	11	10	n	y
71	1	11	10	n	n
72	1	11	11	y	y
73	1	11	11	y	n
74	1	11	11	n	y
75	1	11	11	n	n
76	1	11	12	y	y
77	1	11	12	y	n
78	1	11	12	n	y
79	1	11	12	n	n
80	1	12	3	y	y
81	1	12	3	y	n
82	1	12	3	n	y
83	1	12	3	n	n
84	1	12	8	y	y
85	1	12	8	y	n
86	1	12	8	n	y
87	1	12	8	n	n
88	1	12	10	y	y
89	1	12	10	y	n
90	1	12	10	n	y
91	1	12	10	n	n
92	1	12	11	y	y
93	1	12	11	y	n
94	1	12	11	n	y
95	1	12	11	n	n
96	1	12	12	y	y
97	1	12	12	y	n
98	1	12	12	n	y
99	1	12	12	n	n
100	1	13	3	y	y
101	1	13	3	y	n
102	1	13	3	n	y
103	1	13	3	n	n
104	1	13	8	y	y
105	1	13	8	y	n
106	1	13	8	n	y
107	1	13	8	n	n
108	1	13	10	y	y
109	1	13	10	y	n
110	1	13	10	n	y
111	1	13	10	n	n
112	1	13	11	y	y
113	1	13	11	y	n
114	1	13	11	n	y
115	1	13	11	n	n
116	1	13	12	y	y
117	1	13	12	y	n
118	1	13	12	n	y
119	1	13	12	n	n
120	2	8	3	y	y
121	2	8	3	y	n
122	2	8	3	n	y
123	2	8	3	n	n
124	2	8	8	y	y
125	2	8	8	y	n
126	2	8	8	n	y
127	2	8	8	n	n
128	2	8	10	y	y
129	2	8	10	y	n
130	2	8	10	n	y
131	2	8	10	n	n
132	2	8	11	y	y
133	2	8	11	y	n
134	2	8	11	n	y
135	2	8	11	n	n
136	2	8	12	y	y
137	2	8	12	y	n
138	2	8	12	n	y
139	2	8	12	n	n
140	2	9	3	y	y
141	2	9	3	y	n
142	2	9	3	n	y
143	2	9	3	n	n
144	2	9	8	y	y
145	2	9	8	y	n
146	2	9	8	n	y
147	2	9	8	n	n
148	2	9	10	y	y
149	2	9	10	y	n
150	2	9	10	n	y
151	2	9	10	n	n
152	2	9	11	y	y
153	2	9	11	y	n
154	2	9	11	n	y
155	2	9	11	n	n
156	2	9	12	y	y
157	2	9	12	y	n
158	2	9	12	n	y
159	2	9	12	n	n
160	2	10	3	y	y
161	2	10	3	y	n
162	2	10	3	n	y
163	2	10	3	n	n
164	2	10	8	y	y
165	2	10	8	y	n
166	2	10	8	n	y
167	2	10	8	n	n
168	2	10	10	y	y
169	2	10	10	y	n
170	2	10	10	n	y
171	2	10	10	n	n
172	2	10	11	y	y
173	2	10	11	y	n
174	2	10	11	n	y
175	2	10	11	n	n
176	2	10	12	y	y
177	2	10	12	y	n
178	2	10	12	n	y
179	2	10	12	n	n
180	2	11	3	y	y
181	2	11	3	y	n
182	2	11	3	n	y
183	2	11	3	n	n
184	2	11	8	y	y
185	2	11	8	y	n
186	2	11	8	n	y
187	2	11	8	n	n
188	2	11	10	y	y
189	2	11	10	y	n
190	2	11	10	n	y
191	2	11	10	n	n
192	2	11	11	y	y
193	2	11	11	y	n
194	2	11	11	n	y
195	2	11	11	n	n
196	2	11	12	y	y
197	2	11	12	y	n
198	2	11	12	n	y
199	2	11	12	n	n
200	2	12	3	y	y
201	2	12	3	y	n
202	2	12	3	n	y
203	2	12	3	n	n
204	2	12	8	y	y
205	2	12	8	y	n
206	2	12	8	n	y
207	2	12	8	n	n
208	2	12	10	y	y
209	2	12	10	y	n
210	2	12	10	n	y
211	2	12	10	n	n
212	2	12	11	y	y
213	2	12	11	y	n
214	2	12	11	n	y
215	2	12	11	n	n
216	2	12	12	y	y
217	2	12	12	y	n
218	2	12	12	n	y
219	2	12	12	n	n
220	2	13	3	y	y
221	2	13	3	y	n
222	2	13	3	n	y
223	2	13	3	n	n
224	2	13	8	y	y
225	2	13	8	y	n
226	2	13	8	n	y
227	2	13	8	n	n
228	2	13	10	y	y
229	2	13	10	y	n
230	2	13	10	n	y
231	2	13	10	n	n
232	2	13	11	y	y
233	2	13	11	y	n
234	2	13	11	n	y
235	2	13	11	n	n
236	2	13	12	y	y
237	2	13	12	y	n
238	2	13	12	n	y
239	2	13	12	n	n
240	5	8	3	y	y
241	5	8	3	y	n
242	5	8	3	n	y
243	5	8	3	n	n
244	5	8	8	y	y
245	5	8	8	y	n
246	5	8	8	n	y
247	5	8	8	n	n
248	5	8	10	y	y
249	5	8	10	y	n
250	5	8	10	n	y
251	5	8	10	n	n
252	5	8	11	y	y
253	5	8	11	y	n
254	5	8	11	n	y
255	5	8	11	n	n
256	5	8	12	y	y
257	5	8	12	y	n
258	5	8	12	n	y
259	5	8	12	n	n
260	5	9	3	y	y
261	5	9	3	y	n
262	5	9	3	n	y
263	5	9	3	n	n
264	5	9	8	y	y
265	5	9	8	y	n
266	5	9	8	n	y
267	5	9	8	n	n
268	5	9	10	y	y
269	5	9	10	y	n
270	5	9	10	n	y
271	5	9	10	n	n
272	5	9	11	y	y
273	5	9	11	y	n
274	5	9	11	n	y
275	5	9	11	n	n
276	5	9	12	y	y
277	5	9	12	y	n
278	5	9	12	n	y
279	5	9	12	n	n
280	5	10	3	y	y
281	5	10	3	y	n
282	5	10	3	n	y
283	5	10	3	n	n
284	5	10	8	y	y
285	5	10	8	y	n
286	5	10	8	n	y
287	5	10	8	n	n
288	5	10	10	y	y
289	5	10	10	y	n
290	5	10	10	n	y
291	5	10	10	n	n
292	5	10	11	y	y
293	5	10	11	y	n
294	5	10	11	n	y
295	5	10	11	n	n
296	5	10	12	y	y
297	5	10	12	y	n
298	5	10	12	n	y
299	5	10	12	n	n
300	5	11	3	y	y
301	5	11	3	y	n
302	5	11	3	n	y
303	5	11	3	n	n
304	5	11	8	y	y
305	5	11	8	y	n
306	5	11	8	n	y
307	5	11	8	n	n
308	5	11	10	y	y
309	5	11	10	y	n
310	5	11	10	n	y
311	5	11	10	n	n
312	5	11	11	y	y
313	5	11	11	y	n
314	5	11	11	n	y
315	5	11	11	n	n
316	5	11	12	y	y
317	5	11	12	y	n
318	5	11	12	n	y
319	5	11	12	n	n
320	5	12	3	y	y
321	5	12	3	y	n
322	5	12	3	n	y
323	5	12	3	n	n
324	5	12	8	y	y
325	5	12	8	y	n
326	5	12	8	n	y
327	5	12	8	n	n
328	5	12	10	y	y
329	5	12	10	y	n
330	5	12	10	n	y
331	5	12	10	n	n
332	5	12	11	y	y
333	5	12	11	y	n
334	5	12	11	n	y
335	5	12	11	n	n
336	5	12	12	y	y
337	5	12	12	y	n
338	5	12	12	n	y
339	5	12	12	n	n
340	5	13	3	y	y
341	5	13	3	y	n
342	5	13	3	n	y
343	5	13	3	n	n
344	5	13	8	y	y
345	5	13	8	y	n
346	5	13	8	n	y
347	5	13	8	n	n
348	5	13	10	y	y
349	5	13	10	y	n
350	5	13	10	n	y
351	5	13	10	n	n
352	5	13	11	y	y
353	5	13	11	y	n
354	5	13	11	n	y
355	5	13	11	n	n
356	5	13	12	y	y
357	5	13	12	y	n
358	5	13	12	n	y
359	5	13	12	n	n
360	7	8	3	y	y
361	7	8	3	y	n
362	7	8	3	n	y
363	7	8	3	n	n
364	7	8	8	y	y
365	7	8	8	y	n
366	7	8	8	n	y
367	7	8	8	n	n
368	7	8	10	y	y
369	7	8	10	y	n
370	7	8	10	n	y
371	7	8	10	n	n
372	7	8	11	y	y
373	7	8	11	y	n
374	7	8	11	n	y
375	7	8	11	n	n
376	7	8	12	y	y
377	7	8	12	y	n
378	7	8	12	n	y
379	7	8	12	n	n
380	7	9	3	y	y
381	7	9	3	y	n
382	7	9	3	n	y
383	7	9	3	n	n
384	7	9	8	y	y
385	7	9	8	y	n
386	7	9	8	n	y
387	7	9	8	n	n
388	7	9	10	y	y
389	7	9	10	y	n
390	7	9	10	n	y
391	7	9	10	n	n
392	7	9	11	y	y
393	7	9	11	y	n
394	7	9	11	n	y
395	7	9	11	n	n
396	7	9	12	y	y
397	7	9	12	y	n
398	7	9	12	n	y
399	7	9	12	n	n
400	7	10	3	y	y
401	7	10	3	y	n
402	7	10	3	n	y
403	7	10	3	n	n
404	7	10	8	y	y
405	7	10	8	y	n
406	7	10	8	n	y
407	7	10	8	n	n
408	7	10	10	y	y
409	7	10	10	y	n
410	7	10	10	n	y
411	7	10	10	n	n
412	7	10	11	y	y
413	7	10	11	y	n
414	7	10	11	n	y
415	7	10	11	n	n
416	7	10	12	y	y
417	7	10	12	y	n
418	7	10	12	n	y
419	7	10	12	n	n
420	7	11	3	y	y
421	7	11	3	y	n
422	7	11	3	n	y
423	7	11	3	n	n
424	7	11	8	y	y
425	7	11	8	y	n
426	7	11	8	n	y
427	7	11	8	n	n
428	7	11	10	y	y
429	7	11	10	y	n
430	7	11	10	n	y
431	7	11	10	n	n
432	7	11	11	y	y
433	7	11	11	y	n
434	7	11	11	n	y
435	7	11	11	n	n
436	7	11	12	y	y
437	7	11	12	y	n
438	7	11	12	n	y
439	7	11	12	n	n
440	7	12	3	y	y
441	7	12	3	y	n
442	7	12	3	n	y
443	7	12	3	n	n
444	7	12	8	y	y
445	7	12	8	y	n
446	7	12	8	n	y
447	7	12	8	n	n
448	7	12	10	y	y
449	7	12	10	y	n
450	7	12	10	n	y
451	7	12	10	n	n
452	7	12	11	y	y
453	7	12	11	y	n
454	7	12	11	n	y
455	7	12	11	n	n
456	7	12	12	y	y
457	7	12	12	y	n
458	7	12	12	n	y
459	7	12	12	n	n
460	7	13	3	y	y
461	7	13	3	y	n
462	7	13	3	n	y
463	7	13	3	n	n
464	7	13	8	y	y
465	7	13	8	y	n
466	7	13	8	n	y
467	7	13	8	n	n
468	7	13	10	y	y
469	7	13	10	y	n
470	7	13	10	n	y
471	7	13	10	n	n
472	7	13	11	y	y
473	7	13	11	y	n
474	7	13	11	n	y
475	7	13	11	n	n
476	7	13	12	y	y
477	7	13	12	y	n
478	7	13	12	n	y
479	7	13	12	n	n
